id,comment
47326,"La Passion du Christ : J’ai vraiment bien aimé ce film car c’est un film puissant avec des moments assez forts et chargés en émotion. Le film est brute et assez bouleversant car il propose des moments de tortures d’une rare violence (perso, j’aurai mis du déconseiller aux moins de 16 ans). Et il faut dire qu’il y a pratiquement que ça ; donc ça ne plaira pas à tout le monde. Mais bon, c’est logique car on nous raconte les dernières heures de Jésus Christ Dieu vivant donc sa souffrance, son sacrifice d'amour, le pardon. Donc niveau scénario, ce n’est pas original car tout le monde connais l’histoire. Et si je me souviens bien (catéchisme), ça retranscrit à merveille ce qui s’est passé. Et on voit que c’est un passionné, un croyant qui a écrit et mis en scène tout ça. Et, ça ne peut être que : Mel Gibson. On sait que ce projet lui tenait à cœur et il le porte à merveille. Mise en scène excellente, photographie propre. Il nous fait des plans très « symbolique ». D’ailleurs, le film est assez symbolique, avec l’apparition du diable… Et j’ai bien aimé aussi les flashs back qui sont instaurés pendant son calvaire ; mais ils sont trop courts et j’aurais aimé en voir plus. Mais c’est un choix, c’est le choix du réalisateur et c’est un excellent choix car le film est d’une puissance/violence rare. Les musiques qui sont assez prenantes contribuent beaucoup à cette puissance. Pour finir, les acteurs font très bien leur boulot. Ils nous offrent des interprétations de grandes qualités (riches en émotion) et surtout, le film n’est proposé qu’en VO, ce qui fait plus réaliste et authentique. Donc voila, un film historique très très violent qui parle beaucoup de la torture de Jésus. Mais, c’est un film très fort ; à la fin on se dit : comment l'incarnation en tant qu'homme a pu subir et survivre a tous ça : juste remarquable comme le film."
30784,"Predator 2 : Après le chef d’œuvre qui est le premier, c’est dur de passé après, avec un blockbuster d’époque, aussi intelligent et bien conçu. C’est dur dur et quand on voit le résultat de cette suite, c’est triste car ça a perdu tout son âme. Il y a pas mal de chose qui ne vont pas. Déjà, l’essence même du personnage, la bête, le predator, c’est devenu un bourrin, qu’il laisse aucun combat, sans pitié qui on dirait de chasse pu, il tue, il bourrine et donc, le concept et les scènes d’actions devient moins intelligent et perde beaucoup de son charme et de son efficacité. Vraiment, on a perdu le combat à distance, la peur et le suspense qui fait l’authenticité du premier et c’est remplacé par des scènes d’actions certes violentes, qui donnent le ton mais ça ne colle pas au personnage. Bon, le point positif, c’est que le film essaye de ce démarqué du premier, et c’est réussit de ce coup la, c’est pu la jungle, c’est la ville… C’est une autre façon de voir les choses mais je trouve que ça ne colle pas encore une fois au personnage. Reste pu que des scènes d’actions comme je disais assez nombreuses et violents mais je remarqué aussi que le final était trop long pour rien, et puis, la justification des meurtres du predator est moins efficace je trouve, pareil pour ceux qui veulent l’affronté. Sinon, coté réalisation, ce n’est pas la maitrisé du premier mais c’est une bonne réalisation, a l’ancienne, d’époque avec des effets spéciaux convaincants. Les musiques sont reprises du premier, ça colle à l’univers. Et pour finir, dans le casting, il y a de bonne tête, bon, c’est pu Arnold mais il y a quand même Danny Glover de l’Arme Fatale. Donc voila, beaucoup moins convaincant que le premier, reste de bonne scène d’action mais ça vaut pas le premier malgré l’effort de pas ressemblé au premier et de proposé quelque chose qui change, mais ça colle pas a l’univers."
142987,"Predators : Après un premier épisode qui est un pur chef d’œuvre d’action intelligent et une suite qui est décevant car elle s’adapte pas et perd l’essence qui fait la série : la chasse, c’était du bourrin. On revint avec un film bien des années après, on pourrait penser que c’est un remake mais c’est une suite car elle parle du première. Et enfin, on retrouve notre bonne veille jungle avec un retour aux sources qui fait plaisir mais surtout, avec une bonne évolution de l’univers malgré que ça reste sobre, mais c’est suffisant pour que on se dit : c’est qu’un copier coller. La, il y a pas mal de rebondissement qui fait que ça évolue, déjà, on se croirait dans une simple jungle et bien vous allez vite découvrir que non et la, ça va devenir plus délicat car comme sortir de ça… Ou encore que cette fois, il ne faut pas affronter un mais plusieurs Predator et il évolue selon quelque chose, ça justifie pourquoi il chasse, pourquoi ils sont la et ce mystère qui se repend et qui se dévoile petit à petit apporte du suspense et j’ai trouvé ça vraiment bien, je vous en dis pas plus et je vous laisse découvrir. De plus, j’ai bien aimée que ils sont un groupe comme dans le premier, mais ils se connaissent pas et ils ont chacun leur capacité, c’est plutôt cool. De plus, il y a de l’action qui est vraiment efficace, une pile d’humour mais ça reste très sérieux. De plus, la réalisation est soignées, les effets spéciaux tops et on retrouve la bonne mise en scène de chasse qui s’adapter bien a la série. On retrouve aussi les musiques cultes de la série et ça c’est bien. Et pour finir, le casting est vraiment pas mal et les acteurs convaincants et en fondent pas trop, ils ne sont pas clichés. On a le droit a : Adrien Brody, Alice Braga, Topher Grace, Danny Trejo… Donc voila, très bon retour aux sources avec une bonne évolution, vraiment, c’est que du bon, même si il est pas aussi énorme que le premier, il reste très honorable."
43225,"Predator : Un classique du film d’action fantastique devenu culte grâce a son réalisateur, l’acteur et son bête qui sera tout aussi connu que Alien dans le même genre. Déjà, son réalisateur, John McTiernan, metteur en scène que on ne présente pu tellement il a du talent et qu’il a fait d’excellent film culte : Die hard 1 et 3, Last Action Hero, Thomas Crown, Le 13è Guerrier… Mais, il a vraiment l’œil artistique et la mise en scène intelligente et travaillée. Il le prouve encore avec ce film avec des scènes d’action type de l’époque, avec des gros bras, des explosions… mais aussi, une mise en scène intelligente en rapport avec la bête et cette mise en valeur de la perception, des plans avec ce que voient et voient pas les personnages avec l’arrière plan… et puis, il y a des plans vraiment stylés, coté ça, il est bon derrière la caméra. Ensuite, l’histoire, ce n’est pas tant qu’elle soit exceptionnelle et développé, c’est très basique le pitch : des gros bras militaire qui vont être pourchassé dans la jungle par un monstre, un predator, rien de plus simple. Et les personnages sont clichés mais très bien utilisé et ce qui fait la force malgré tout ça, il y a une intelligence dans le propos et le dénouement des événements car on remarque que les armes, quelque quelles soient ne valent rien contre le predator, seul le courage et l’intelligence que va avoir Arnold peut faire la différence… D’ailleurs parlons en des acteurs, ils sont tous très bons mais Arnold Schwarzenegger est top et a son habitude, envoi avec son charisme typique américain avec son cigare… Pour finir, les musiques sont bien sympas et mentant dans l’ambiance malgré qu’elles sont un peu répétitifs. Donc voila, un film d’action je répète intelligent et bien conçu, ça c’est du cinéma."
61545,"Prête-moi ta main : Une comédie romantique plutôt sympathique et assez drôle qui se regarde avec plaisir. Pourtant, au début, je n’étais pas totalement convaincu, un poil long a démarré. Mais, une fois la machine lancée, le rythme trouve sont souffle et ça devint très amusant et plaisant. Car pour la petite histoire, c’est un gars, la quarantaine qui n’a jamais eu de relation sérieuse et son envahissante famille veut absolument qui trouve une personne. Donc, il va louer les services d’une fille pour faire la femme parfaite aux yeux de la famille mais ça va pas tourner comme cela devait et c’est la que ça devint encore plus drôle. Non vraiment, dans le genre déjà vu, il y a quelque note original malgré que le schéma romantique et comique reste classique. Mais, pour ce qui est du début et de milieu, c’est loin d’être à l’eau de rose… Bon par contre, vers la fin, c’est inévitable mais bon. Et puis, il y a un très bon casting et les acteurs fournissent une bonne énergie qui fait plaisir, le duo : Alain Chabat et Charlotte Gainsbourg est convaincant, original et drôle. Les autres acteurs sont aussi bons. Donc voila, une bonne petite comédie, sans prétention, on passe un bon moment, rien d’exceptionnelle mais c’est agréable a regarder, vraiment."
198771,"Kingsman : Services secrets : Ce film est un peu le Deadpool version film d’espion à la James Bond car c’est violent et délirant comme un Tarantino, c’est décalé ou il y a de l’autodérision pour le genre, et il y a de la classe mais aussi des scènes d’actions bien nerveuses et jouissif. Non vraiment, ce film a tout pour plaire en plus d’un excellent casting. Mais parlons déjà de la réalisation signée Matthew Vaughn qui a mit en scène X-men le commencement ou encore Kick Ass donc coté violence et action, il s’y connait. Je trouve sa mise en scène impeccable, très attrayante, c’es fluide et tout coté montage et il y a quelque plan bien placé, a l’ancienne pour coller encore au genre. Mais coté action, c’est du pur délire, c’est nerveux et efficace, quand on voit la première scène d’action du film, on a hâte de voir les suivants car elles sont bien orchestrés, c’est filmé a la… je ne dirais pas Matrix mais les plans au ralenti et tout, c’est génial, et puis c’est très violent et sanglant comme un Deadpool. Ensuite, pitch de base classique, un peu a la Cody Bank pour ceux qui connais, c’est un jeune qui va être recruté dans une agence d’espion, on va suivre son recrutement et entrainement. Mais pour le coup, c’est son coté vieux film d’espionnage re modernisé qui donne une bonne énergie (car c’est un film qui se déroule comme un vieux James Bond sauf que on n’est pas dans ce genre de film ^^). Et puis, le délire surtout, vers les 3/4 du film, ça part dans un délire incroyable, à partir de l’église, vous comprendrez, et le final, alors la, ça va loin, c’est la fête mais c’est décalé et assumé et on apprécie mais ça coupe fort avec la première partie plus crédible et réaliste. Et puis, les personnages sont bien sympas et délirants a suivent. Faut dire, qu’il y a un excellent casting : Colin Firth très classe, Samuel L. Jackson qui se la joue style rappeur un peu fou fou, j’adore, Taron Egerton impeccable comme Mark Strong. Donc voila, un film d’action espionnage violent et délirant, je crois que c’est bien résumé."
6576,"Sables mortels : Un thriller policier des plus efficace et divertissant. Vraiment, on passe un bon moment, il y a une intrigue sympa quoique un peu confuse, un casting de première ordre et un rythme qui captive donc on s’ennuie pas. Bon, ce n’est pas le film exceptionnel et inoubliable mais on passe au bon moment. A défaut d’avoir une intrigue maitrisé a fond et pourtant, c’est captivant, il y a des personnages qui sont plutôt développés, qui agissent et interagisses entre eux et qui évolues dans un monde de faux semblant, un peu mafieux/policier car il y a histoire d’arme et d’argent. C’est un flic un peu cowboy avec son chapeau ^^ qui enquête sur le meurt d’un gars et pour aller plus loin, il va prendre des risques et infiltré le milieu sachant qu’il n’est pas le seul et plus il avance, plus c’est le bordel, surtout qu’a un moment du film, on sait pu qui cherche quoi… d’où que c’est un peu confus mais bon, c’est l’histoire et les rebondissements qui veulent ça. Après, comme je disais, on a le droit a un super casting 3 étoiles : Willem Dafoe qui est cool, juste je n’aime pas sa voix VF dans ce film ^^, Mickey Rourke, Samuel L. Jackson, Mary Elizabeth Mastrantonio… et ils sont tous donc convaincants. Et pour finir, réalisation correctes, c’est bien filmé mais ce n’est pas du grand art. Donc voila, malgré tout, bonne intrigue, ça ce laisse suivre sans temps mort, ça diverti et c’est un bon film du genre."
6549,"Primary Colors : Un faux biopic car le film s’inspire librement de la campagne électorale de Bill Clinton même si ils ont changés le nom dans l’histoire pour que ça passe mieux. Mais, ils sentent caches pas et c’est assuré mais pas totalement assumé du coup. Pour le film en général, c’est plutôt fidèle au combat et a la guerre qu’engendre les élections, ils se renvoyés la balle, ils démontent ce que dis et accuse de l’un et l’autre, les veilles histoires, les défauts et les écarts de conduite spécifiquement a cette campagne… L’atmosphère et l’ambiance est bien retranscris avec les crises et les risques entre les personnages, ça pas de problème. Mais, je trouve quand même qu’il manque de piquant, de rythme, le film dure quand même un bon 2H10 et c’est toujours le même rythme, il y a pas de moment fort et je ne vais pas dire que c’est plat et chiant mais on suit ça sans souci mais rien d’exceptionnelle et de palpitant. Pourtant, il y a un casting d’exception et ils sont tous impeccables : John Travolta, Emma Thompson, Adrian Lester, Kathy Bates. Et la réalisation est bonne malgré quelle soit classique, c’est de bonne facture. Mais, pour revenir a l’histoire, ça tourne beaucoup sur le même thème : infidélité… mais pas plus, on approfondi pas autre chose tellement, surtout que le personnage centrale malgré tout et l’assistant du futur président, c’est bien, ça change de vision mais bon. Donc voila, bon petit film du genre, un peu lent et manque d’intensité mais le casting est génial et ça ce regarde bien mais pas inoubliable."
5517,"Le Maitre d'école : Un hymne et un hommage un crayon de vois, au cahier de classe, au gomme, a la bonne ambiance de l’école et des années 80 avec les profs, le directeur, les syndicats, les enfants remplit de question et qui cahute aussi… Non vraiment, c’est le bon temps et la bonne ambiance. L’humour de ce film et simple et passe bien, une bonne petite critique de ce monde de l’école sans en faire de trop. C’est juste bien et on passe un bon moment. Et puis, les personnages sont attachants et bien sympas a suivent et ils ont chacun leur personnalité bien a eu. Il faut dire aussi qu’il y a un bon casting : Coluche est touchant drôle et sincère dans ce maitre d’école qui adorent les enfants en étant pas trop sévère et attentif. Il y a aussi : Josiane Balasko, Roland Giraud, Charlotte De Turckheim… et ils jouent très bien et les acteurs enfants sont impeccables aussi, ils sont justes et ils ont l’air de s’amusés et nous aussi. Donc voila, une très bonne comédie, bien sympa avec une chouette ambiance bonne enfant, un classique."
53718,"Shérif fais-moi peur, le film : Une comédie d’action policière tout ce qui est de plus divertissant et sympathique. Une fois rentré, on est bien dans ce délire, c’est fun, parfois amusant et vraiment, on passe un bon moment. Bon, des fois, ça va loin tout ça, plus on avance, plus on se croirait dans un GTA avec le duo qui échappe a la police, qui lance des Cocktails Molotov sur les voitures de flics… dans GTA, il aurait déjà 5 étoiles ^^ pour ce qui connais et dans la vie, faut pas rêver ce genre de situation. Mais, c’est du cinéma, c’est fun et pour le coup très délirant. Bon, je n’ai pas vu la série tv d’où est basé ce film donc je ne serais pas dire si c’est fidèle ou non, apparemment, pas trop mais je juge que le film. Et il a une bonne énergie, des gags plutôt sympas, d’autres qui fondent pas rire mais c’est voulu, les blagues que dis le père ^^. Et puis, c’est surtout le duo qui fait la force du film, ils sont a délirants et assez loufoques et les situations sont tout autant comme je vous disais. Pour les scènes de course poursuit, c’est nerveux et bien filmé, avec une mise en scène comme il faut, on est dedans même si des fois, c’est un peu répétitif car elles se ressemblent un peu mais bon. Bon, le scénario, c’est dans la délire, on ne suit pas trop vu le délire. Mais sinon, pour finir, le casting est plutôt pas mal : on reconnait surtout Seann William Scott des American Pie. Donc voila, c’est divertissant, pas exceptionnelle non plus mais c’est sans prise de tête."
